Variable,Arkhangai,Dornogovi,Bayan-Ölgii,Bayankhongor,Dundgovi,Khentii,Darkhan-Uul,Dornod,Bulgan,Govi-Altai,Ömnögovi,Övörkhangai,Govisümber,Töv,Khovd,Khövsgöl,Selenge,Orkhon,Ulaanbaatar,Sükhbaatar,Uvs,Zavkhan
mean temperature - historical - annual,-2.244979754,3.673623034,-4.997822318,0.778468242,2.120689576,-1.154951168,-1.212535834,0.329177925,-1.436570139,1.769238982,5.608342403,1.366967158,0.407977764,-1.095569547,-0.244600778,-5.303541151,-1.373077077,-1.599340932,-1.783702659,0.793909076,-2.676599217,-4.250630662
mean temperature - historical - jun - aug,12.28761192,20.6689279,9.662470957,16.44717957,18.68476868,15.79066521,16.88625732,18.39439963,14.27396256,17.33467136,21.48801017,16.84307018,17.62439614,15.87491664,15.9892611,10.69484423,16.32948613,14.61286861,15.5085047,18.29425459,15.72957485,12.92060324
mean temperature - historical - nov - feb,-16.07550157,-12.68696159,-18.69277848,-14.05726489,-13.7468939,-17.40091566,-19.41459411,-16.96106679,-16.91106819,-13.12896488,-9.598810881,-13.50605832,-16.09256272,-17.50790628,-16.39927234,-20.84704229,-18.96813681,-17.29869305,-18.57272895,-16.2170568,-21.10689663,-21.08178828
mean temperature - ssp1 - 2021-2040 - annual,-0.201271045,5.627150777,-2.911131228,2.787820826,4.036814633,0.85040515,0.858030644,2.332581076,0.641389631,3.834053527,7.588281934,3.2618189,2.289270872,0.891409175,1.855773256,-3.219187318,0.709024224,0.512133739,0.259943169,2.707446319,-0.559282738,-2.163425245
mean temperature - ssp1 - 2041-2060 - annual,0.297387513,6.202944662,-2.495155209,3.308809784,4.628281245,1.472928465,1.513468087,3.016976716,1.23874665,4.37871263,8.150035629,3.821390563,2.866444549,1.500727384,2.318739034,-2.694136279,1.353758146,1.143185199,0.875108021,3.382401306,-0.099045731,-1.703743942
mean temperature - ssp1 - 2061-2080 - annual,0.40723265,6.291995633,-2.381210188,3.407063831,4.691676366,1.575360586,1.56208289,3.085984867,1.300064893,4.461315675,8.262660571,3.912450367,2.955502786,1.568995778,2.421008867,-2.579145111,1.418058844,1.186878005,0.948936431,3.4698534,0.006242341,-1.569826673
mean temperature - ssp1 - 2081-2100 - annual,0.24465724,6.059526886,-2.430374325,3.212535677,4.474183798,1.39662045,1.443384134,2.957892371,1.163247559,4.294502268,8.029768607,3.700897579,2.756106775,1.387679111,2.302880154,-2.69825711,1.291263754,1.065402708,0.757161827,3.254602992,-0.114736398,-1.718124649
mean temperature - ssp1 - 2021-2040 - jun - aug,14.76493949,23.05337026,12.01668307,18.92665738,21.1439199,18.20818605,19.36392953,20.76926675,16.75080661,19.87044755,23.90700782,19.30339382,20.04217073,18.34989344,18.50445376,13.08583462,18.78612472,17.0873933,18.00168552,20.66089386,18.17906658,15.40260169
mean temperature - ssp1 - 2041-2060 - jun - aug,15.18030509,23.61771904,12.54005453,19.48643489,21.66645037,18.66881858,19.77160934,21.26414279,17.17529963,20.4751347,24.49669206,19.82249145,20.53924061,18.80860564,19.05595775,13.5031786,19.19897363,17.5352871,18.45327975,21.20472635,18.64277751,15.84964769
mean temperature - ssp1 - 2061-2080 - jun - aug,15.28266402,23.76643267,12.61189837,19.59173311,21.76538684,18.84672022,19.84848293,21.44782785,17.26520373,20.58379322,24.63613373,19.90121616,20.7019263,18.92357916,19.13949804,13.61793877,19.29102811,17.60688598,18.57018536,21.38426874,18.73385597,15.97678792
mean temperature - ssp1 - 2081-2100 - jun - aug,15.27050849,23.47265229,12.63841392,19.45461289,21.56378299,18.66613336,19.90386498,21.24981482,17.31853424,20.49020198,24.39323838,19.76071374,20.46498749,18.82823277,19.13709948,13.65506607,19.33235277,17.69508034,18.47111785,21.07442083,18.82112945,16.01392441
mean temperature - ssp1 - 2021-2040 - nov - feb,-14.33304091,-10.98049107,-16.75805154,-12.40031908,-12.20233831,-15.62273813,-17.51842984,-15.09180541,-15.04287359,-11.33458547,-7.887810298,-12.05170885,-14.55289649,-15.8152013,-14.47383145,-18.99073981,-17.04481373,-15.32981506,-16.78705612,-14.54849535,-19.12950987,-19.1966693
mean temperature - ssp1 - 2041-2060 - nov - feb,-13.77619201,-10.37295636,-16.37941644,-11.83192409,-11.50338369,-14.92126896,-16.6891777,-14.32952449,-14.32098449,-10.77886126,-7.2630907,-11.37517301,-13.94706342,-15.09882076,-14.05514121,-18.44092373,-16.23717174,-14.57593836,-16.05374664,-13.79443327,-18.66121007,-18.73955927
mean temperature - ssp1 - 2061-2080 - nov - feb,-13.71164272,-10.43332307,-16.27840999,-11.84462934,-11.59150868,-14.87930535,-16.6996258,-14.36594647,-14.30747953,-10.77672733,-7.307544194,-11.40234385,-13.97993678,-15.1152978,-13.97560019,-18.33951742,-16.22939162,-14.58091693,-16.05164068,-13.81357707,-18.57658675,-18.66173392
mean temperature - ssp1 - 2081-2100 - nov - feb,-14.02867072,-10.67636594,-16.49371975,-12.12963505,-11.87093792,-15.11332238,-16.95394764,-14.43113923,-14.64064843,-11.07826771,-7.591062239,-11.69956995,-14.20227983,-15.40176952,-14.30245283,-18.5964321,-16.49429233,-14.8927658,-16.35698742,-14.02635327,-18.93851871,-18.9789262
mean temperature - ssp2 - 2021-2040 - annual,-0.141986049,5.802668847,-2.931218153,2.840105071,4.22357664,0.991005616,1.03489229,2.548662147,0.786356075,3.880995877,7.687815228,3.393045154,2.430161754,1.038954139,1.878115112,-3.143397314,0.879900153,0.675461048,0.418024715,2.930331975,-0.519824928,-2.135782407
mean temperature - ssp2 - 2041-2060 - annual,0.647768829,6.512059479,-2.129704736,3.621106282,4.923757331,1.791591153,1.852747532,3.368433742,1.597495834,4.688247076,8.446297726,4.131954719,3.190649518,1.847977689,2.661964575,-2.301889361,1.697278322,1.509931865,1.224326624,3.691401078,0.247459744,-1.346581895
mean temperature - ssp2 - 2061-2080 - annual,1.311884151,7.224223056,-1.375441618,4.345427054,5.644060881,2.464901585,2.536307718,4.055400883,2.277769899,5.415073233,9.188958333,4.852388492,3.888205405,2.526805762,3.420530965,-1.624563131,2.380737803,2.190930386,1.886011485,4.37763621,0.974293112,-0.62997701
mean temperature - ssp2 - 2081-2100 - annual,1.780875093,7.73901275,-0.901012081,4.804034241,6.106569883,3.031783974,3.059371183,4.608959652,2.757527912,5.912539211,9.64525176,5.290110234,4.424944873,3.06109132,3.920771706,-1.133598734,2.894999732,2.654260269,2.405802967,4.964963899,1.483867199,-0.116989707
mean temperature - ssp2 - 2021-2040 - jun - aug,14.84183236,23.13990014,12.07232874,18.95523086,21.20425594,18.32236613,19.44039588,20.9148295,16.85519318,19.92112717,23.93227266,19.35547859,20.14603549,18.45769994,18.55611731,13.13471512,18.86976971,17.19524672,18.12869478,20.80318776,18.21783586,15.46977141
mean temperature - ssp2 - 2041-2060 - jun - aug,15.71592187,23.93038845,13.05095505,19.91863929,22.06555475,19.11504299,20.29686138,21.68650903,17.7151443,20.95897853,24.83907257,20.25481618,20.9619646,19.2827597,19.58828039,14.02517061,19.72045699,18.07140532,18.9294874,21.56676556,19.1717684,16.42212369
mean temperature - ssp2 - 2061-2080 - jun - aug,16.33982208,24.65693289,13.64529219,20.62853368,22.80222239,19.66697244,20.94052271,22.19302225,18.36596477,21.61883317,25.606686,20.96466333,21.61932147,19.94702322,20.21984909,14.62322456,20.36563097,18.72147241,19.58161819,22.15460874,19.79841853,17.01621294
mean temperature - ssp2 - 2081-2100 - jun - aug,16.91421083,25.20514144,14.16333347,21.17521914,23.30153423,20.27651521,21.50554113,22.9246417,18.88746148,22.16653083,26.13602375,21.481038,22.18075416,20.48995396,20.75737674,15.17793105,20.92319969,19.22426733,20.11369908,22.84220909,20.3461122,17.58521244
