Hazard,SSP,Height,Energy sector,Attapeu,Bokeo,Bolikhamxai,Champasack,Houaphan,Khammouan,Louangnamtha,Louangphabang,Oudomxai,Phongsaly,Salavan,Savannakhet,Sekong,Vientiane,Vientiane Capital,Xaignabouly,Xaisomboon,Xiengkhouang
Flood ,Existing,<1m,Hydropower,0,0,0,8.78,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0
Flood ,Existing,1-2m,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,Existing,2-5m,Hydropower,10.82,96.55,0,42.15,0,0,0,0,0,0,43.62,0,0,6.19,0,3.95,0,0
Flood ,Existing,5-10m,Hydropower,11.94,0,2.52,0.17,0,0,0,3.14,2.98,0,49.89,6.5,0,0,0,0,0,50.76
Flood ,Existing,>10m,Hydropower,60.92,0,48.8,18.01,0,64.56,0,89.93,79.86,48.95,6.49,93.5,42.9,50.51,0,96.05,77.4,0
Flood ,RCP26,<1m,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,RCP26,1-2m,Hydropower,0,0,0,0,0,29.12,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,RCP26,2-5m,Hydropower,10.94,0,0,42.15,0,0,0,0,2.98,0,43.62,0,0,0,0,3.95,2.55,0
Flood ,RCP26,5-10m,Hydropower,11.82,0,4.33,0.17,0,0,0,3.14,0,33,6.49,39.02,15.3,6.19,0,0,0,50.76
Flood ,RCP26,>10m,Hydropower,60.92,0,46.96,18.01,0,64.56,0,93.33,79.86,15.95,49.89,60.98,35.61,50.51,0,96.05,77.4,0
Flood ,RCP85,<1m,Hydropower,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,RCP85,1-2m,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,RCP85,2-5m,Hydropower,10.94,0,0,0,0,29.13,0,0,2.98,0,43.62,0,0,0,0,3.95,2.55,0
Flood ,RCP85,5-10m,Hydropower,11.82,0,3.18,0.17,0,0,0,3.14,0,33,0,32.52,8.01,6.19,0,0,0,50.76
Flood ,RCP85,>10m,Hydropower,60.92,0,48.14,60.16,0,64.56,0,93.31,79.86,15.95,56.38,67.48,42.9,50.51,0,96.05,77.4,0
Drought (SSI),Existing,<=15,Hydropower,15.84,96.55,37.54,2.02,0,50,2.5,23.39,17.12,73.87,66.47,0,26.88,5.62,0,3.95,89.09,50.76
Drought (SSI),Existing,15-20,Hydropower,8.38,0,0,60.16,0,0,97.5,69.84,79.86,0,0,0,0,0,0,96.05,0,0
Drought (SSI),Existing,20-25,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought (SSI),Existing,25-30,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought (SSI),Existing,>30,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought (SSI),RCP26,<=15,Hydropower,15.84,96.55,37.54,2.02,0,50,2.5,23.39,17.12,73.87,66.47,0,26.88,5.62,0,3.95,89.09,50.76
Drought (SSI),RCP26,15-20,Hydropower,8.38,0,0,42.15,0,0,0,0,79.86,0,0,0,0,0,0,32.58,0,0
Drought (SSI),RCP26,20-25,Hydropower,0,0,0,18.01,0,0,97.5,69.84,0,0,0,0,0,0,0,63.47,0,0
Drought (SSI),RCP26,25-30,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought (SSI),RCP26,>30,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought (SSI),RCP85,<=15,Hydropower,24.22,0,37.54,2.02,0,50,2.5,0,14.14,0.17,66.47,60.98,26.88,5.62,0,3.95,89.09,50.76
Drought (SSI),RCP85,15-20,Hydropower,0,96.55,0,60.16,0,0,0,12.4,2.98,24.75,0,0,0,0,0,0,0,0
Drought (SSI),RCP85,20-25,Hydropower,0,0,0,0,0,0,0,80.83,80.65,48.95,0,0,0,0,0,63.47,0,0
Drought (SSI),RCP85,25-30,Hydropower,0,0,0,0,0,0,0,0,0,0,0,39.02,0,0,0,32.58,0,0
Drought (SSI),RCP85,>30,Hydropower,0,0,0,0,0,0,97.5,0,0,0,0,39.02,0,0,0,0,0,0
