Hazard,SSP,Height,Energy sector,Arkhangai,Dornogovi,Bayan-Ōlgii,Bayankhongor,Dundgovi,Khentii,Darkhan-Uul,Dornod,Bulgan,Govi-Altai,Ömnogövi,Övörkhanga,Govisūmber,Töv,Khovd,Khövsgöl,Selenge,Orkhon,Ulaanbaatar,Sūkhbaatar,Uvs,Zavkhan
Flood,existing,cat1,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Flood,existing,cat2,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.48,0.00,0.00,0.00,0.00,0.00
Flood,existing,cat3,Hydropower,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,7.01,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,76.92,0.00,0.00,0.00,0.00
Flood,existing,cat4,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00
Flood,existing,cat5,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Flood,rcp26,cat1,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00
Flood,rcp26,cat2,Hydropower,0.00,0.00,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Flood,rcp26,cat3,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.01,0.00,0.00,0.00,0.00,0.00,41.55,0.00,92.48,76.92,0.00,0.00,0.00,0.00
Flood,rcp26,cat4,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Flood,rcp26,cat5,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Flood,rcp85,cat1,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Flood,rcp85,cat2,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00
Flood,rcp85,cat3,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.00,41.55,0.00,92.48,61.53,0.00,0.00,0.00,0.00
Flood,rcp85,cat4,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Flood,rcp85,cat5,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Drought (SSI),existing,cat1,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00
Drought (SSI),existing,cat2,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.28,0.00,0.00,0.00,0.00,0.00,0.00,100,100,23.07,100,0.00,0.00,100
Drought (SSI),existing,cat3,Hydropower,0.00,0.00,100,0.00,0.00,0.00,0.00,0.00,13.15,0.00,0.00,0.00,0.00,0.00,100,0.00,0.00,61.53,0.00,0.00,0.00,0.00
Drought (SSI),existing,cat4,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Drought (SSI),existing,cat5,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Drought (SSI),ssp1,cat1,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Drought (SSI),ssp1,cat2,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.28,0.00,0.00,0.00,0.00,0.00,0.00,100,0.00,100,0.00,0.00,0.00,0.00
Drought (SSI),ssp1,cat3,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Drought (SSI),ssp1,cat4,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Drought (SSI),ssp1,cat5,Hydropower,0.00,0.00,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,0.00,100,0.00,100,0.00,0.00,0.00
Drought (SSI),ssp5,cat1,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Drought (SSI),ssp5,cat2,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.51,21.53,0.00,0.00,0.00,100
Drought (SSI),ssp5,cat3,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.03,0.00,0.00,0.00,0.00,0.00,100,0.00,92.48,0.00,100,0.00,0.00,0.00
Drought (SSI),ssp5,cat4,Hydropower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,0.00,76.92,0.00,0.00,0.00,0.00
Drought (SSI),ssp5,cat5,Hydropower,0.00,0.00,100,0.00,0.00,0.00,0.00,0.00,28.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00
