Variable,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Mongar,Paro,Pemagatshel,Punakha,Samdrup Jongkhar,Samtse,Sarpang,Tashi Yangtse,Tashigang,Thimphu,Trongsa,Tsirang,Wangdue Phodrang,Zhemgang
precipitation - historical - annual,687.46,2570.04,2237.79,367.86,1250.48,756.02,1313.95,806.23,2431.96,914.37,2188.63,3482.5,2719.09,850.56,1215.54,666.13,1149.05,2186.86,982.47,2071.59
precipitation - ssp1 - 2021-2040 - annual,812.64,2607.48,2280.1,546.92,1334.77,860.29,1356.57,922.17,2440.1,1025.44,2190.21,3514.3,2746.95,935.25,1253.86,806.7,1226.9,2223.92,1092.36,2098.46
precipitation - ssp1 - 2041-2060 - annual,845.49,2652.9,2327.45,574.05,1372.31,893.01,1406.87,957.41,2502.35,1060.56,2254.19,3557.61,2800.38,971.55,1305.96,839.64,1269.14,2274.1,1129.05,2153.98
precipitation - ssp1 - 2061-2080 - annual,785.74,2644.28,2307.14,486.02,1339.77,853.38,1387.03,894.91,2496.89,1017.3,2247.81,3571.3,2781.68,935.61,1277.26,759.13,1236.21,2255.54,1080.52,2137.12
precipitation - ssp1 - 2081-2100 - annual,868.87,2685.82,2351.46,605.09,1417.41,914.9,1424.69,997.09,2511.36,1091.89,2265.76,3603.36,2814.29,993.55,1325.73,875.36,1290.68,2292.34,1154.83,2167.01
precipitation - ssp2 - 2021-2040 - annual,788.02,2601.07,2270.48,519.18,1323.61,840.37,1349.39,903.33,2443.87,1000.72,2199.45,3513.93,2739.8,921.63,1253.58,783.69,1206.44,2213.64,1067.77,2092.32
precipitation - ssp2 - 2041-2060 - annual,826.76,2627.48,2297.23,560.15,1355.06,876.09,1381.74,939.74,2473.6,1041.33,2233.28,3539.66,2765.6,958.92,1290.3,822.84,1242.86,2240.68,1106.77,2121.25
precipitation - ssp2 - 2061-2080 - annual,858.94,2721.71,2390.35,556.8,1406.8,917.35,1451.18,962.9,2541.96,1105.6,2281.83,3638.57,2859.11,995.17,1326.15,831.88,1325.59,2344.6,1173.31,2202.77
precipitation - ssp2 - 2081-2100 - annual,927.29,2703.74,2375.52,663.54,1452.8,972.33,1466.31,1042.87,2536.27,1153.01,2289.11,3619.59,2839.18,1047.83,1364.23,926.44,1343.36,2321.11,1210.66,2197.98
precipitation - ssp3 - 2021-2040 - annual,791.32,2607.13,2275.85,526.21,1334.82,837.74,1349.32,916.69,2442.38,1012.9,2192.88,3520.52,2741.42,915.96,1248.4,796.81,1214.57,2217.82,1078.19,2094.21
precipitation - ssp3 - 2041-2060 - annual,834.5,2647.29,2319.17,577.5,1371.88,876.88,1379.82,957.23,2475.25,1058.98,2223.28,3555.17,2784.99,950.64,1276.36,840.47,1254.12,2261.13,1122.49,2130.65
precipitation - ssp3 - 2061-2080 - annual,910.38,2840.17,2494.65,616.01,1507.48,961.95,1499.04,1041.84,2598.04,1172.84,2325.9,3776.36,2947.51,1033.11,1359.4,904.2,1389.38,2439.22,1241.93,2268.1
precipitation - ssp3 - 2081-2100 - annual,1125.06,2923.62,2597.87,857.71,1673.3,1165.94,1672.9,1262.75,2763.49,1362.59,2512.55,3833.43,3064.52,1243.84,1570.05,1141.39,1549.99,2542.47,1417.83,2417.61
precipitation - ssp5 - 2021-2040 - annual,711.73,2621.98,2277.31,432.38,1306.98,770.06,1295.86,856.86,2412.95,971.41,2161.91,3553.22,2732.8,844.83,1183.37,718.06,1169.66,2215.74,1027.12,2064.41
precipitation - ssp5 - 2041-2060 - annual,861.1,2780.46,2442.5,565.97,1443.2,917.25,1450.07,985.53,2561.88,1116.14,2291.22,3703.8,2903.51,987.14,1313.53,849.14,1333.21,2388.56,1184.94,2226.47
