Variable,Attapeu,Bokeo,Bolikhamxai,Champasack,Houaphan,Khammouan,Louangnamtha,Louangphabang,Oudomxai,Phongsaly,Salavan,Savannakhet,Sekong,Vientiane,Vientiane Capital,Xaignabouly,Xaisomboon,Xiengkhouang
precipitation - historical - annual,2514.36,1618.2,2287.27,2236.32,1356.9,2376.83,1654.84,1551.03,1495.38,1618.87,1927.72,1782.25,2598.87,1893.21,1832.96,1284.43,2037.09,1483.98
precipitation - ssp1 - 2021-2040 - annual,2590.59,1622.81,2282.42,2261.18,1369.55,2392.08,1666.08,1560.49,1507.55,1620.63,2000.79,1827.65,2712.43,1879.02,1813.42,1278.57,2034.76,1493.88
precipitation - ssp1 - 2041-2060 - annual,2661.43,1675.33,2344.85,2326.47,1450.71,2466.77,1730.05,1617.19,1563.26,1700.65,2081.34,1898.42,2807.38,1915.24,1848.42,1323.97,2078.8,1556.27
precipitation - ssp1 - 2061-2080 - annual,2694.87,1694.41,2387.34,2359.75,1473.59,2511.89,1748.05,1637.56,1582.65,1707.77,2120.65,1937.37,2835.56,1946.1,1883.83,1346.72,2120.97,1588.68
precipitation - ssp1 - 2081-2100 - annual,2696.21,1690.46,2394.98,2345.24,1490.01,2505.4,1749.01,1645.48,1585.68,1720.49,2108.51,1926.54,2839.7,1948.91,1888.91,1344.15,2124.65,1602.01
precipitation - ssp2 - 2021-2040 - annual,2580.37,1598.59,2263.52,2254.12,1359.82,2363.28,1643.93,1542.91,1484.3,1611.75,1979.73,1797.48,2701.4,1867.23,1803.76,1262.42,2024.23,1482.04
precipitation - ssp2 - 2041-2060 - annual,2609.37,1652.01,2306,2305.54,1389.14,2418.04,1697.13,1581.91,1533.85,1647.8,2024.66,1850.87,2728.42,1908.5,1842,1307.37,2058.71,1512.44
precipitation - ssp2 - 2061-2080 - annual,2656.16,1640.51,2303.81,2337.57,1388.28,2421.22,1687.34,1569.02,1520.38,1638.87,2046.88,1858.73,2777.54,1896.61,1832.32,1293.5,2051.04,1508.95
precipitation - ssp2 - 2081-2100 - annual,2720.77,1683.23,2336.33,2365.7,1424.2,2455,1726.84,1612.22,1563.26,1669.76,2134.19,1932.12,2878.19,1936.83,1869.08,1332.52,2093.66,1550.47
precipitation - ssp3 - 2021-2040 - annual,2549.25,1555.1,2204.86,2225.09,1299.4,2308.44,1610.98,1485.12,1438.6,1572.21,1940.2,1757.67,2658.26,1811.82,1750.3,1210.66,1964.01,1418.82
precipitation - ssp3 - 2041-2060 - annual,2495.97,1591.62,2237.08,2186.42,1333.84,2320.49,1634.03,1522.1,1469.03,1587.41,1906.68,1753.51,2613.9,1855.39,1784.06,1255.04,2003.6,1454.79
precipitation - ssp3 - 2061-2080 - annual,2549.46,1594.33,2199.47,2225.83,1311.66,2287.13,1644.17,1509.67,1473.51,1597.36,1930.41,1745.59,2657.11,1819.89,1745.02,1230.53,1968.82,1428.84
precipitation - ssp3 - 2081-2100 - annual,2577.21,1618.23,2234.45,2242.7,1346.57,2322.93,1661,1538.82,1494.53,1604.68,1978.36,1789.35,2704.49,1856.45,1785.83,1259.34,2011.16,1465.75
precipitation - ssp5 - 2021-2040 - annual,2637.78,1623.68,2268.65,2292.53,1369.02,2385.76,1670.83,1558.81,1507.17,1631.55,2043.62,1851.74,2769.15,1880.56,1814.69,1279.5,2030.05,1485.83
precipitation - ssp5 - 2041-2060 - annual,2688.16,1657.81,2320.88,2333.56,1407.27,2437.14,1702.62,1587.14,1536.85,1655.72,2113.43,1913.84,2849.69,1915.83,1854.58,1309.15,2078.64,1532.23
precipitation - ssp5 - 2061-2080 - annual,2694.15,1662.34,2332.94,2340.56,1406.35,2453.97,1703.79,1598.41,1545.84,1648.55,2091.46,1906.58,2835.72,1919.27,1850.91,1320.05,2083.17,1536.74
precipitation - ssp5 - 2081-2100 - annual,2732.58,1712,2350.83,2367.48,1448.99,2458.63,1751.71,1647,1593.29,1692.15,2117.8,1920.88,2862.29,1949.01,1873.92,1350.2,2115.21,1574.39
precipitation - historical - may - oct,2340.33,1438.05,2125.07,2086.86,1193.52,2190.68,1467.22,1375.5,1328.33,1428.54,1749.94,1624.29,2352.82,1712.56,1689.93,1121.96,1864.16,1334.34
precipitation - ssp1 - 2021-2040 - may - oct,2342.82,1422.94,2089.73,2085.33,1184.82,2143.06,1451.06,1362.84,1317.4,1402.43,1739,1601.06,2346.96,1680.33,1653.34,1098.99,1838.16,1321.61
precipitation - ssp1 - 2041-2060 - may - oct,2402.23,1455.82,2142.06,2143.07,1247.31,2196.56,1493.01,1399.75,1352.84,1458.77,1798.5,1653.16,2414.86,1706.82,1683.49,1130.36,1872.02,1368.27
precipitation - ssp1 - 2061-2080 - may - oct,2412.21,1478.27,2168.6,2165.63,1258.65,2218.63,1513.72,1417.66,1373.12,1467.52,1803.68,1662.76,2409.18,1732.27,1709.7,1150.9,1904.36,1389.85
precipitation - ssp1 - 2081-2100 - may - oct,2429.72,1474.04,2185.35,2163.97,1272.36,2241.87,1514.02,1426.21,1376.53,1476.02,1829.58,1689.08,2444.12,1738.26,1720.3,1151.5,1911.59,1403.31
precipitation - ssp2 - 2021-2040 - may - oct,2350.02,1405.17,2083.79,2086.56,1181.43,2132.53,1434.95,1348.53,1299.41,1398.4,1733.26,1591.94,2352.43,1673.45,1649.3,1087.97,1832.88,1316.07
precipitation - ssp2 - 2041-2060 - may - oct,2391.89,1453.63,2118.53,2145.71,1206.62,2177.35,1482.98,1385.11,1344.65,1431.09,1791.85,1648.12,2397.11,1713.48,1687.72,1130.35,1866.28,1343.46
precipitation - ssp2 - 2061-2080 - may - oct,2416.37,1433.59,2114.88,2170.19,1199.52,2175.99,1463.14,1365.78,1323.61,1412.62,1793.12,1644.08,2405.98,1699.39,1676.38,1113.67,1855.05,1333.38
precipitation - ssp2 - 2081-2100 - may - oct,2439.83,1470.22,2136.3,2179.48,1225.26,2180.51,1497.8,1400.1,1358.82,1439.51,1820.24,1667.12,2440.35,1729.92,1704.01,1143.5,1888.69,1366.52
precipitation - ssp3 - 2021-2040 - may - oct,2320.02,1371.26,2034.21,2062.57,1130.37,2090.4,1410.45,1300.93,1262.81,1369.09,1702.81,1564.08,2311.69,1626.01,1601.83,1045.63,1781.55,1262.52
precipitation - ssp3 - 2041-2060 - may - oct,2298.59,1403.97,2067.92,2037.41,1162.61,2100.72,1430.99,1335.06,1291.18,1381.65,1685.6,1556.61,2302.7,1670.44,1638.22,1089.54,1822.29,1298.54
precipitation - ssp3 - 2061-2080 - may - oct,2338.42,1408.02,2035.74,2078.24,1146.21,2066.39,1442.54,1327.79,1297.85,1394,1703.01,1548.14,2326.09,1641.59,1607.2,1068.61,1795.15,1278.77
precipitation - ssp3 - 2081-2100 - may - oct,2350.85,1430.93,2074.43,2088.22,1186.55,2099.55,1458.2,1359.89,1320.24,1401.24,1709.54,1567.59,2324.37,1677.81,1647.24,1097.31,1839.34,1319.85
precipitation - ssp5 - 2021-2040 - may - oct,2364.46,1416.11,2074.02,2109.06,1176.5,2121.77,1446.3,1351.59,1307.39,1402.78,1745.69,1598.83,2363.79,1681.07,1656.46,1096.98,1831.94,1308.81
precipitation - ssp5 - 2041-2060 - may - oct,2395.33,1448.43,2120.34,2133.65,1213.93,2162.6,1478.1,1379.74,1337.49,1431.41,1789.73,1639.79,2411.39,1708.93,1688.36,1121.31,1873.04,1351.05
precipitation - ssp5 - 2061-2080 - may - oct,2416.44,1451.97,2130.48,2149.77,1209.26,2173.72,1478.4,1384.95,1341.9,1421.5,1775.03,1632.93,2403.2,1707.18,1680.85,1125.77,1873.99,1351.24
precipitation - ssp5 - 2081-2100 - may - oct,2432.71,1501.28,2160.95,2176.66,1260.09,2186.13,1527.73,1441.68,1394.52,1468.83,1790.87,1651.3,2399.18,1748.9,1717.5,1165.31,1919.18,1399.4
precipitation - historical - nov - apr,189.46,209.63,187.75,160.53,191.61,225.81,227.6,208.85,202.44,233.83,201.82,177.74,278.28,200.23,160.2,182.59,198.06,175.92
precipitation - ssp1 - 2021-2040 - nov - apr,247.76,199.87,192.68,175.86,184.73,249.02,215.02,197.65,190.15,218.2,261.79,226.59,365.47,198.7,160.08,179.58,196.6,172.27
precipitation - ssp1 - 2041-2060 - nov - apr,259.2,219.52,202.79,183.4,203.4,270.21,237.04,217.44,210.41,241.89,282.85,245.26,392.52,208.42,164.94,193.61,206.78,187.99
precipitation - ssp1 - 2061-2080 - nov - apr,282.66,216.14,218.73,194.12,214.94,293.25,234.32,219.9,209.53,240.25,316.97,274.61,426.38,213.83,174.13,195.82,216.61,198.83
precipitation - ssp1 - 2081-2100 - nov - apr,266.49,216.42,209.63,181.27,217.65,263.53,234.98,219.27,209.14,244.48,278.93,237.46,395.58,210.65,168.6,192.65,213.06,198.69
precipitation - ssp2 - 2021-2040 - nov - apr,230.35,193.43,179.72,167.57,178.39,230.75,208.98,194.38,184.89,213.35,246.47,205.54,348.97,193.77,154.47,174.45,191.35,165.97
precipitation - ssp2 - 2041-2060 - nov - apr,217.48,198.38,187.47,159.83,182.52,240.69,214.15,196.8,189.2,216.71,232.8,202.75,331.31,195.02,154.28,177.02,192.43,168.98
precipitation - ssp2 - 2061-2080 - nov - apr,239.79,206.91,188.93,167.38,188.76,245.23,224.2,203.25,196.77,226.25,253.75,214.65,371.56,197.22,155.94,179.83,195.99,175.58
