Hazard,SSP,Height,Energy sector,Samtse,Haa,Paro,Thimphu,Chhukha,Gasa,Punakha,Wangduephodrang,Bumthang,Trongsa,Dagana,Sarpang,Tsirang,Lhuentse,Yangtse,Zhemgang,Pemagatshel,Samdrupjongkhar,Monggar,Trashigang
Flood ,Existing,<1m,Hydropower,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,Existing,1-2m,Hydropower,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,Existing,2-5m,Hydropower,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,Existing,5-10m,Hydropower,0,0,0,0,7.92,0,0,0,0,0,2.34,0,0,0,0,0,0,0,1.5,0
Flood ,Existing,>10m,Hydropower,0,0,0,0,0,0,0,0,0,0,68.89,0,0,0,0,0,0,0,0,0
Flood ,SSP1,<1m,Hydropower,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,SSP1,1-2m,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,SSP1,2-5m,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,SSP1,5-10m,Hydropower,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,1.5,0
Flood ,SSP1,>10m,Hydropower,0,0,0,0,0,0,0,0,0,0,68.89,0,0,0,0,0,0,0,0,0
Flood ,SSP5,<1m,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,SSP5,1-2m,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,SSP5,2-5m,Hydropower,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
Flood ,SSP5,5-10m,Hydropower,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,1.5,0
Flood ,SSP5,>10m,Hydropower,0,0,0,0,7.92,0,0,0,0,0,68.89,0,0,0,0,0,0,0,0,0
Drought (SSI),Existing,<=5,Hydropower,0,0,0,0,0,0,0,0,0,18.16,0,0,0,0,0,0,0,0,0,0
Drought (SSI),Existing,5-10,Hydropower,100,61.66,58.03,0,22.71,0,0,14.89,93.98,81.84,95.98,57.45,100,100,100,100,100,22.33,68.65,78.85
Drought (SSI),Existing,10-15,Hydropower,0,0,0,0,0,0,76.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought (SSI),SSP1,<=5,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought (SSI),SSP1,5-10,Hydropower,0,26.75,42.82,0,22.71,0,76.04,13.38,93.98,100,24.86,57.45,100,0,100,70.64,100,0,68.65,78.85
Drought (SSI),SSP1,10-15,Hydropower,100,34.91,15.21,0,0,0,0,1.51,0,0,71.12,0,0,100,0,29.36,0,22.33,0,0
Drought (SSI),SSP5,<=5,Hydropower,0,0,0,0,0,0,0,0,75.52,26.42,76.52,0,0,0,24.76,4.83,0,0,0,35.73
Drought (SSI),SSP5,5-10,Hydropower,100,0,0,0,0,0,0,3.75,18.46,0,2.23,0,0,100,0,95.17,100,22.33,68.65,43.12
Drought (SSI),SSP5,10-15,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
